Scope,Group,horizon,MAE,RMSE,R2,Bias,Count
Global,All,1,1.2114163675330452,2.1973989608777957,0.9146032298266804,-0.0067906222437288,375906.0
Global,All,3,2.169191223787064,3.509863974609712,0.7816423207636137,-0.1315185472007628,374872.0
Global,All,6,2.903818480940458,4.536546272974789,0.6351286812409924,-0.2519881290913178,373321.0
Global,All,12,3.724901705446833,5.627870106766951,0.4389632475350271,-0.2052956899502177,370219.0
Global,All,24,4.129132479111503,6.231496394694118,0.3115422586236629,-0.6278452318497346,364015.0
Country,AT,1,0.8969742619308332,1.591730245337884,0.95488787960064,0.0421006915445957,159831.0
Country,AT,3,1.8432997862940712,2.9650497642629143,0.8434638312300572,-0.1202312695581227,159755.0
Country,AT,6,2.6487400579455205,4.093739897013437,0.7016102235322339,-0.2045179532296654,159641.0
Country,AT,12,3.665770777137191,5.458633118865562,0.4695730544173645,-0.2296732249175626,159413.0
Country,AT,24,4.14344775216035,6.119070139787612,0.3331970468213845,-0.6282709120618178,158957.0
Country,BE,1,1.2505972281575175,2.492542197668237,0.9072212264329776,-0.0209168622838912,82411.0
Country,BE,3,2.47688519937112,4.091118014138414,0.747722829737196,-0.1581311151838155,82099.0
Country,BE,6,3.437790088033444,5.417965317962445,0.5561860780315788,-0.3384025202534549,81631.0
Country,BE,12,4.371075004683056,6.670039303144544,0.326960470582984,-0.3567530080283675,80695.0
Country,BE,24,4.816212414458074,7.255078859127717,0.2005296516173607,-0.6920053257063877,78823.0
Country,ES,1,2.3317662134588253,3.3907758292554546,0.7798744911057154,-0.0816474590281173,50638.0
Country,ES,3,3.166401834666724,4.573331447588907,0.5994408939922934,-0.1783814705459026,50348.0
Country,ES,6,3.625850590067382,5.2295560202654725,0.4769414740390623,-0.347198590469368,49913.0
Country,ES,12,4.190934203809255,5.921747857460588,0.3311964667749343,-0.0215730094439082,49043.0
Country,ES,24,4.409375071361766,6.382624949398421,0.2270364753383706,-0.8581101760661035,47303.0
Country,FI,1,0.6932299500332756,1.3871217692094333,0.8867885417339183,-0.0096218929467477,44255.0
Country,FI,3,1.2883695794890015,2.1673530406057773,0.7233084801799081,-0.070695924290862,44113.0
Country,FI,6,1.7163367310852016,2.7198741956814767,0.5645402308220631,-0.1496273438099576,43900.0
Country,FI,12,2.129552751525914,3.210229667856364,0.3943600775440348,-0.140265427309417,43474.0
Country,FI,24,2.3533182699069157,3.5664854048029686,0.2525342788313702,-0.3770366715084891,42622.0
Country,FR,1,1.5526179533586986,2.439761185426364,0.9017920012328284,-0.07731476709689,38771.0
Country,FR,3,2.569884852792668,3.8759395516163417,0.7527270439151518,-0.1300129248961919,38557.0
Country,FR,6,3.249670516261123,4.909596003358991,0.6045605354990474,-0.2589316350768482,38236.0
Country,FR,12,3.825552152282172,5.692100112165347,0.4708634466994257,-0.0917002437101651,37594.0
Country,FR,24,4.294354822313251,6.56582429082546,0.2951368290712109,-0.4811303840133973,36310.0
StationArea,rural,1,0.4205880295495361,0.9280132099172328,0.9143942476452588,0.0073273376107237,11062.0
StationArea,rural,3,0.8865763428811043,1.5693682255089416,0.7549601619331419,-0.0109173605884459,11026.0
StationArea,rural,6,1.2246112168986911,2.004260438657933,0.6011181718404051,-0.043261729145502,10972.0
StationArea,rural,12,1.5489450491229635,2.377411872379786,0.4417634886210619,-0.0128024908246277,10864.0
StationArea,rural,24,1.794016877548933,2.7447684816799933,0.261881580687979,-0.1811067994199777,10648.0
StationArea,rural-nearcity,1,0.8347654752380208,1.4190268636069607,0.9597528195619912,0.103545054998647,16840.0
StationArea,rural-nearcity,3,1.6951313155628882,2.695899252756645,0.8546896010553513,0.0054749401406643,16832.0
StationArea,rural-nearcity,6,2.49235510721218,3.816117207788784,0.7086864685559902,0.0400847191476084,16820.0
StationArea,rural-nearcity,12,3.4292828571117897,5.133476698146733,0.4727274448133479,0.1127879781988752,16796.0
StationArea,rural-nearcity,24,3.794189503348355,5.571115812359704,0.3781136341492951,-0.1371897187129335,16748.0
StationArea,suburban,1,1.0645734573258483,2.0969763757384445,0.9224298386940384,-0.0172610816060801,105923.0
StationArea,suburban,3,2.0491128449687976,3.4003696836092634,0.7941461122377131,-0.1856151976339578,105703.0
StationArea,suburban,6,2.823967473486315,4.47859978869277,0.6414527604226067,-0.3410639148827207,105373.0
StationArea,suburban,12,3.686634552679952,5.6325196059813,0.4316785796477879,-0.3508561593547958,104713.0
StationArea,suburban,24,4.102197229430425,6.200324655263482,0.3079541278484314,-0.7291349130843028,103393.0
StationArea,urban,1,1.3380061687933618,2.3225769013269586,0.9062304066021332,-0.0105297145708145,242081.0
StationArea,urban,3,2.313462031700196,3.667869481467168,0.7662835632211563,-0.1228883762668986,241311.0
StationArea,urban,6,3.0443905101866204,4.689097774353083,0.6185526632282429,-0.2428966576785142,240156.0
StationArea,urban,12,3.862015113528601,5.763169522245922,0.425094840642321,-0.17246648942875,237846.0
StationArea,urban,24,4.27173601453978,6.402496063991326,0.2911768141382284,-0.6385718461664982,233226.0
